"callnum","circ","lang","ctry"
"JL966 .D466 2009","0","spa","dcu"
"JN9646.M5 D57 2007","0","scc","yu "
"KHC3053 .A28 2007","0","spa","bo "
"DS328 .T73 2005","0","rus","ru "
"HC340.12 .L862 2007","0","rus","ru "
"DS79.769 .T47 2008","1","eng","pau"
"JZ1550.A57 E2 2008","0","eng","pau"
"PQ6457 .S7 2009","0","spa","sp "
"PS3539.R56 Z83 2009","3","eng","mau"
"JZ5538 .N55 2006","0","eng","sw "
"PQ2675.R33 N68 2009","0","fre","fr "
"DK127 .C43 2008","0","rus","ru "
"PM5573 .Y354 2008","1","spa","bo "
"BP65.R8 B37 2008","0","rus","ru "
"D810.P4 R68 2009","0","fre","fr "
"N7952.S54 F67 2006","0","ita","it "
"KHC2204 .D43 2007","0","spa","bo "
"KJE4443.31992 .S74 2007","0","eng","be "
"DK510.764 .R66698 2008","0","rus","se "
"DK508.66 .K685 2008","0","rus","ru "
"HQ799.F8 J42 2009","0","fre","fr "
"B77 .O54 2006","0","fre","fr "
"B2430.F724 R395 2008","0","fre","fr "
"DK651.A1 L83 2008","0","rus","ru "
"PG2950 .L582 2007","1","rus","ru "
"JN15 .G59 2007","0","ita","it "
"DS21 .E27 2009","2","eng","inu"
"PQ2701.U34 N68 2009","0","fre","fr "
"GA205 A12 R3 v.1-2","1","fre","fr "
"T173.8 .T498 2009","1","eng","mdu"
"UA853.I5 C65 2008","0","eng","si "
"UA853.I5 C65 2008","0","eng","si "
"PK411.G3 R35 2008","0","fre","fr "
"PQ2664.A4888 C65 2009","0","fre","fr "
"PJ5059.F3 C43 2008","0","fre","fr "
"DK511.D2 A22 2007","0","rus","ru "
"PQ2611.E86 A6 2008","0","fre","fr "
"PG3489.I874 A6 2008","0","rus","ru "
"PQ2663.H257 D47 2009","1","fre","fr "
"PN6185 .M37 2006","1","fre","fr "
"PG5039.32.O435 S7 2008","0","cze","xr "
"PG5039.33.A44 J35 2008","0","cze","xr "
"DS135.R92 S427 2008","0","rus","ru "
"PQ2667.A873 P67 2008","0","fre","fr "
"PQ31 .C57 2008","0","fre","fr "
"DS238.A38 S255 2006","0","ara","ua "
"BL2765.F8 S67 2008","0","fre","fr "
"DC611.B852 M635 2008","0","fre","fr "
"QB1.I6 P76 2008","0","eng","enk"
"DC34 .T479 2008","1","fre","fr "
"PQ558 .M62 2009","0","fre","fr "
"PQ6669.A6794 C46 2007","0","spa","sp "
"PK6023 S65 v.1","1","rus","ru "
"PQ6619.I4 Z666 2008","0","spa","sp "
"PH5339.O39 M35 2008","0","spa","sp "
"DP762 .V35 2008","0","spa","sp "
"PQ6716.A756 C66 2008","0","spa","sp "
"gr98.h261 1970","1","eng","is "
"PC3942.26.O5 V6518 2008","0","spa","sp "
"JC29.T6","0","dut","ne "
"ND3259 .M87 2005","0","ind","io "
"PG2996 .M589 2008","0","rus","ru "
"HX39.5 .A76717 2008","0","rus","ru "
"PC3942.1.L826 P375 2009","0","cat","sp "
"PC3942.417.I535 F846 2008","1","cat","sp "
"DC34.5.N67 V35 2007","0","fre","fr "
"PC3942.23.U49 M5 2008","0","cat","sp "
"HF3630.2.Z9 S366 2008","0","rus","ru "
"DT30.5 .I58 2007","0","fre","sg "
"PH3213.B113 F44 2008","0","hun","hu "
"PN6110.V56 I43 2008","2","spa","sp "
"DC342.1 .J68 2008","0","fre","fr "
"PQ6663.A748395 A37 2009","0","spa","sp "
"HC183.V54 B35 2008","0","spa","bo "
"HD2326 .K85 2008","0","rus","aj "
"DK4449 .W56 2008","0","pol","pl "
"PQ2667.E6845 Z86 2008","0","fre","fr "
"DR477 .D55 2009","0","tur","tu "
"PG7174.S5 Z88 2008","0","pol","pl "
"DK507.19 .R64 2008","0","rus","bw "
"D810.C5 R45 2007","0","eng","be "
"PQ2605.H3345 Z815 2008","0","fre","fr "
"DK677.9.I67 M53 2003","0","geo","gs "
"F2799.N3 M6 2008b","0","spa","uy "
"PQ6702.O827 A6918 2009","0","spa","mx "
"Q175.52.E85 K37 2008","0","eng","er "
"HD5772.3.A6 R35 2008","0","cze","xr "
"PQ2673.I3372 Z46 2009","0","fre","fr "
"PG1419.32.E37 R87 2008","0","scc","yu "
"JN34.5 .R466 2007","0","eng","pl "
"DP302.B53 P355 2008","0","spa","sp "
"PQ6611.U44 S4 2008","0","spa","sp "
"DC420 .M53 2008","0","fre","fr "
"PQ6719.A529 C66 2008","0","spa","sp "
"HD2056.64.Z8 S25 2003","0","geo","gs "
"HV887.B5 L6 2005","0","spa","bo "
"PG988 .K35 2007","0","rus","ru "
"KHC3003 .D435 2008","0","spa","bo "
"HM1276 .L4 2008","0","fre","fr "
"DK551 .P94 2007","0","rus","ru "
"pa3087 p34","1","swe","sw "
"PG3335.Z8 K69 2006","0","rus","ru "
"PQ2106.P3 R87 2007","1","fre","fr "
"GN824.M63 A75 2008","0","rus","ru "
"DC801.L37 H36 2008","0","fre","fr "
"DG571 .D35214 2009","0","fre","fr "
"PG7051 .S89 2008","0","pol","pl "
"PC4105 .E88 2007","0","spa","sp "
"CR5065 .D86 2009","0","fre","fr "
"BP136.48 .M393 2007","0","ara","le "
"DK254.K77 G74 2008","0","rus","ru "
"DC611.M69 C39 2008","0","fre","fr "
"PQ6720.O53 H5 2008","0","spa","sp "
"DK 268.S66 N55 2007","0","rus","ru "
"DP302.C58 T3775 2007","0","cat","sp "
"F3100 .M325 2008","0","spa","cl "
"F3100 .M325 2008","0","spa","cl "
"DT16.E95 M57 2008","0","cat","sp "
"PQ2683.I456 H57 2008","0","fre","fr "
"DP264.F7 P744 2008","1","spa","sp "
"PN56.M44 C85 2008","0","eng","fr "
"BX1588.G7 H57 2008","0","spa","sp "
"PQ4684.B62 Z85 2008","0","ita","it "
"PC4073 .A73 2008","0","spa","sp "
"PQ2617.O6 Z7435 2009","0","fre","fr "
"PJ7876.A656 A44 2006","0","ara","jo "
"PQ6623.O395 Z84 2008","0","spa","sp "
"PQ6666.A434 S43 2008","0","spa","sp "
"PQ2720.E95 P65 2008","0","fre","fr "
"PJ7858.A843 Q27 2007","0","ara","le "
"NC285 .M57 2008","1","spa","sp "
"PQ6670.R37 M36 2007","0","spa","sp "
"B2430.R554 V56 2008","0","fre","fr "
"PJ7804.G33 K36 2007","0","ara","le "
"BV4140.T9 O93 2007","0","tur","tu "
"PQ6666.E765 O46 2009","0","spa","sp "
"F1525.1.M66 G362 2009","0","spa","ec "
"PN4784.F74 S36 2008","1","spa","sp "
"DT658 .N424 2007","0","fre","fr "
"PQ6601.Z45 I48 2008","0","spa","sp "
"PQ6656.R28 Q54 2007","0","spa","sp "
"DS247.T9 M3812 2005","0","ara","ts "
"PQ2683.O47 E95 2008","0","fre","fr "
"CD5344 .B75 1962","1","eng","enk"
"Z708 .D75 2008","0","eng","dcu"
"PQ2683.O47 C65 2001","0","fre","fr "
"DR584 .K357 2008","0","tur","tu "
"PJ7846.A8753 A42 2006","0","ara","wj "
"CB430 .G85 2008","0","fre","fr "
"BP63.T8 K56 2007","0","tur","tu "
"JC355 .M48 2008","0","rus","ru "
"KKX1572 .D46 2008","0","tur","tu "
"DK771.D3 R65 2008","0","rus","ru "
"PJ7828.B53 W37 2006","2","ara","is "
"DS135.L4 A77 2009","0","tur","tu "
"JN2916 .F73 2008","1","fre","fr "
"JC599.F8 D39 2008","0","fre","fr "
"B2430.B33974 G39 2008","0","fre","fr "
"QE22.I26 K55 2008","0","rus","ru "
"PQ2663.E85 H48 2008","0","fre","fr "
"PQ3948.5.H2 H57 2002","0","fre","ht "
"PQ3948.5.H2 H57 2002","0","fre","ht "
"PQ6181 .L63 2009","0","spa","sp "
"PQ3948.5.H2 H57 2002","0","fre","ht "
"PQ2673.A3657 P68 2008","0","fre","fr "
"PQ3948.5.H2 H57 2002","0","fre","ht "
"DK602.5.K58 R66 2007","0","rus","ru "
"BD450 .L336 2008","0","spa","sp "
"DS793.Y56 S84 1881a","1","rus","ru "
"PC4689 .C45 2008","0","spa","sp "
"DC190.8 .G84 2008","0","fre","fr "
"DK651.M18 G44 2007","0","rus","ru "
"PQ6605.E7 A6 2008","2","spa","sp "
"PN1811 .M35 2008","0","fre","fr "
"PQ6663.U78 N6 2008","0","spa","sp "
"DS113.8.R87 R87 2007","0","rus","ru "
"PG2750.M64 V653 2007","0","rus","ru "
"PK2099.45.U97 A6 2008","0","eng","pk "
"PN1997.A781 B37 2008","0","rus","ru "
"PQ6619.I4 Z756 2007","0","spa","sp "
"PQ2683.O47 H37 2005","0","fre","fr "
"KMQ1210 .S25 2006","0","ara","wj "
"PQ2720.E95 A65 2006","0","fre","fr "
"PG3481.4.O28 V64 1992","0","rus","is "
"D762.T8 F68 2008","0","fre","fr "
"PQ6085 .G334 2007","0","spa","sp "
"BP64.E3 A34 2006","0","ara","ua "
"PG1156 .V53 2006","0","mac","xn "
"DS38.1 .H87 2002","0","eng","pk "
"PG3478.N495 K83 2008","0","rus","ru "
"HC340.F3 K595 2008","0","rus","ru "
"DC420 .C42 2008","0","fre","fr "
"PJ7916.A99 K53 2006","0","ara","gz "
"DS451.9.H3 J68 2008","0","fre","fr "
"DS119.765 .F73 2005","0","fre","fr "
"PK6465.Z32 S53 2008","0","eng","scu"
"DJK50 .M674 2002","0","rus","ru "
"F1410 .R3955 2007","0","spa","ag "
"F1410 .R3955 2007","0","spa","ag "
"F1410 .R3955 2007","0","spa","ag "
"F1410 .R3955 2007","0","spa","ag "
"ML3487.B7 L47 2008","0","por","bl "
"PJ7862.A457 K87 2005","0","ara","wj "
"DC414 .M34 2008","0","fre","fr "
"DS423 .E385 2008","0","fre","fr "
"PK6451.A59 A2 2008","1","eng","ii "
"DK771.K79 E45 2007","0","rus","ru "
"GF532.B6 R688 2006","0","por","bl "
"PQ2607.A16 T7 2008","0","fre","fr "
"DB2191.M38 A5 2005","0","cze","xr "
"DB2191.M38 A5 2005","0","cze","xr "
"DS395.5 .L49 2008","0","eng","sw "
"JS6335.T482 G367 1996","0","spa","sp "
"B738.S57 B68 2008","0","fre","fr "
"B4249.I44 A3 2007","0","rus","ru "
"QH108.G8 B56 2006","0","spa","gt "
"DS449 .N49 2008","0","fre","fr "
"PQ2607.E834 Z838 2008","0","fre","fr "
"ND3247 .B73 2008","0","fre","fr "
"DS79.769 .O33 2009","2","eng","cau"
"PQ2664.A4975 E53 2008","1","fre","fr "
"D520.T8 O886 2008","0","tur","tu "
"F2510 .C6653 2005","0","por","bl "
"PQ2673.A46 M35 2009","0","fre","fr "
"BX1720 .H36 2007","0","fre","fr "
"PG3493.48.O352 E46 2008","0","rus","ru "
"DP522 .C354 2006","0","por","po "
"PQ2673.A38416 V54 2009","1","fre","fr "
"DD247.H42 A68 2008","0","cze","xr "
"DP272 .E7534 2008","0","spa","sp "
"PQ3948.5.H2 D86 1996","0","fre","ht "
"DC420 .A54 2008","0","fre","fr "
"PN5190.C43 M397 2009","0","fre","fr "
"HV5840.B5 S25 2008","0","spa","bo "
"HV5840.B5 S25 2008","0","spa","bo "
"PG3492.94.A55 N48 2008","0","rus","ru "
"PT2684.O357 P37 2009","0","ger","gw "
"PQ2678.O722 A89 2008","0","fre","fr "
"PN2185 .T44 2008","0","fre","fr "
"DB2146 .C434 2008","0","cze","xr "
"PN56.I45 G47 2007","0","fre","quc"
"PN56.I45 G47 2007","0","fre","quc"
"PG5039.32.I34 R66 2008","0","cze","xr "
"PQ2666.O78 H6 2009","0","fre","fr "
"PG3483.I435 S67 2008","3","rus","ru "
"PQ2666.R276 Z46 2009","0","fre","fr "
"PQ4913.I69 T75 2005","1","ita","it "
"HV40.32.P352 A3 2008","0","cze","xr "
"PQ2631.R63 Z54575 2009","0","fre","fr "
"DC122.9.M3 P66 2007","0","fre","fr "
"DC122.9.M3 P66 2007","0","fre","fr "
"HC167.S67 M475 2009","0","eng","si "
"DK511.C37 K335 2007","0","rus","ru "
"PQ2633.U43 Z688 2009","0","fre","fr "
"PQ2662.R323 S83 2009","0","fre","fr "
"DG421.5 .C272 2006","0","fre","it "
"DS644.46.H33 A3 2005","0","eng","io "
"DK755 .W6517 2007","0","rus","ru "
"PG7162.H84 D65 2006","0","pol","pl "
"JQ2947.A95 E45513 2009","2","eng","tz "
"U805 .K53 2008","2","rus","ru "
"PM50 .V37 2009","5","eng","ne "
"BF175 .R678 1994b","0","fre","fr "
"BF175 .R678 1994b","0","fre","fr "
"HC810 .M363 2006","0","fre","mr "
"HC810 .M363 2006","0","fre","mr "
"DR603 .M855 2006","0","tur","tu "
"HQ1726.7 .A647 2005","0","tur","tu "
"DK771.C4 A274 2006","0","rus","ru "
"DR486 .O93 2009","0","eng","tu "
"PG7161.O2 A6 2008","0","pol","pl "
"HQ1726.7 .A648 1992","0","tur","tu "
"HC336.27 .P57 2008","0","rus","ru "
"JZ1251 .I56 2008","0","eng","fi "
"DT515.4 .R43 2000","0","eng","nr "
"HD9578.A78 A23 2007","0","eng","my "
"BX618 .S255 2007","1","eng","xx "
"f RA964 .S66 2008","1","tur","tu "
"JQ1807 .G846 2009","0","tur","tu "
"ML420.P6 S77 2005","0","rus","ru "
"HC415.18 .P66 1999","0","eng","aj "
"ND1026 .L36 2008","0","eng","io "
"PC1981 .P76 2007","1","ita","it "
"PC1981 .P76 2007","0","ita","it "
"HF1413 .R68 2008","0","eng","sx "
"BL51 .M56 2008","0","rus","ru "
"DS385.B45 A663 2008","0","eng","pk "
"PQ5984 .T27 .P5 2004","0","ita","it "
"LB1607.53.K4 F74 2007","0","eng","ke "
"DT615.7 .T67 2000","0","por","po "
"DT615.7 .T67 2000","0","por","po "
"DR592.K4 B69 2009","0","tur","tu "
"DR603 .C37 1998","0","tur","tu "
"DS81 .M25 2000b","4","eng","cau"
"N7475 .C75 2006","1","eng","mau"
"HV347 .F86226 2007","0","por","po "
"HV347 .F86226 2007","0","por","po "
"ML421.K67 L53 2007","0","rus","ru "
"K1705 .K35 2008","0","eng","rh "
"PQ4843 .E66 G4 2006","0","ita","it "
"PC5442 .P665 2003","0","por","bl "
"PG3479.4.R64 O84 2008","0","rus","ru "
"HD1531.B7 P76 2008","0","por","bl "
"PT2482.Z9 A56 2009","0","ger","gw "
"PQ4684.C8 P37 1996","0","ita","it "
"PQ7081.A1 C657 2007","0","spa","ve "
"PN2004 .S76 2009","0","ger","au "
"DK32 .M43 2009","0","rus","ru "
"HN794.A8 L37 2007","0","eng","ug "
"DC420 .L48 2008","0","fre","fr "
"DK4600.S422 P48 1940","0","ger","gw "
"ML423.K52 A3 2007","0","ara","ua "
"PG3476.K653 Z46 2007","0","rus","ru "
"B1886 .G24 2008","1","fre","be "
"PJ7816.I76 J8 2007","0","ara","le "
"PQ2603.E378 Z778 2008","0","fre","fr "
"DR1951 .Z68 2007","0","scr","rb "
"PJ7832.A53 H33 2007","0","ara","le "
"JQ3386.A95 T68 2008","0","fre","iv "
"PQ3989.3.N4485 R44 2008","0","fre","iv "
"PQ9231.P45 U49 2000","0","por","po "
"PQ9231.P45 U49 2000","0","por","po "
"PN710 .B4662 2008","0","hun","hu "
"PQ307.W3 S36 2009","0","fre","fr "
"PJ7932.U829 A73 2006","0","ara","sy "
"B4598 .L55 2002","0","por","po "
"PN6222.K4 V37 2007","0","eng","ke "
"PQ2678.E28 P49 2009","0","fre","fr "
"PQ2661.M4 J68 2009","0","fre","fr "
"f ND1029.L52 A4 2008","0","eng","ph "
"DB920.5 .M22 2003","0","hun","hu "
"ND623.M3 A4 2009","0","fre","it "
"PK9103 .B37 2007","0","rus","ru "
"DS154.9.S25 A52 2007","0","ara","jo "
"PH3281 .K85 2005","0","hun","hu "
"HN445 .Q41","0","ger","gw "
"PH3281 .K85 2005","0","hun","hu "
"N6988.5.A83 R865 2007","1","rus","ru "
"DK771.W47 S459 2005","0","rus","ru "
"DS748 .S93 1961","3","eng","nyu"
"DS748 .S93 1961","2","eng","nyu"
"N6988.5.A83 Z34 2007","1","rus","ru "
"DS134.53 .M35 2007","0","pol","pl "
"BL2370.S5 C762 2005","0","hun","hu "
"DK277 .S48 2008","0","rus","ru "
"HC340.12 .E5675 2008","0","rus","ru "
"DB920.5 .M2 2006","0","hun","hu "
"DD177.S36 L28 2008","0","fre","fr "
"DD177.S36 L28 2008","0","fre","fr "
"DK761 .M67 2007","0","rus","ru "
"HQ1613 .V55 2006","0","fre","fr "
"DC34.5.R8 B372317 2008","0","rus","ru "
"P85.S18 M45 2008","0","fre","fr "
"DK268.B73 S65 2007","1","rus","ru "
"PN3331 M67 2005","10","eng","enk"
"DK275.T47 A3 2006","0","rus","ru "
"NA7368.S25 P47 2008","0","rus","ru "
"DT234 .C37 2008","0","ita","it "
"CS859 .N46 2005","0","rus","ru "
"GN836.B67 G76 2006","0","fre","sp "
"GN836.B67 G76 2006","0","fre","sp "
"GN836.B67 G76 2006","0","fre","sp "
"GN836.B67 G76 2006","0","fre","sp "
"PQ6657.A463 S5 2008","0","spa","sp "
"DK510.766.C48 G35 2008","0","rus","ru "
"f DS408 .C46 2007","0","eng","ii "
"HC188.R3 O5 2008","0","por","bl "
"PQ7797.B625 Z74918 2007","0","spa","ve "
"F2536 .F47 2008","0","por","bl "
"f TR647 .H194 2008","0","eng","gw "
"HQ1735.6 .L36 2008","0","fre","fr "
"PT2005 .A1 2008","0","ger","gw "
"PT2005 .A1 2008","0","ger","gw "
"F2534 .S35 2008","0","por","bl "
"BL458 .C42 2008","0","fre","fr "
"HE848.2 .T55 2006","0","rus","ru "
"HQ75.16.B6 G66 2009","0","por","bl "
"DK80 .A86 2007","0","rus","ru "
"PQ2625.A716 Z852 2008","0","fre","fr "
"DC314 .P373 2008","0","fre","fr "
"QL737.P98 R48 2007","0","eng","sz "
"PQ9697.P655 Z62 2008","0","por","bl "
"PL383.5 .S64 2008","0","rus","ru "
"DP53.I2 C68 2008","0","fre","fr "
"PQ9698.16.I5543 D83 2008","0","por","bl "
"PT8851 2005","0","nor","no "
"PQ9698.28.I165 R45 2008","0","por","bl "
"PT8851 2005","0","nor","no "
"HT1129.R53 B494 2008","0","por","bl "
"PG3001 .P366 2007","0","rus","ru "
"DK771.S2 I87 2008","0","rus","ru "
"HN530.2.A85 R68 2008","0","rus","ru "
"f TR646.R82 .S25 2007","0","eng","ru "
"B3080.A3 B66 2007","0","ger","sz "
"f DS110.J4 N48 2001","0","eng","is "
"PN1992.3.B7 M35 2008","0","por","bl "
"PG3493.34.A98 P74 2008","2","rus","ru "
"D802.I82 R678 2008","0","ita","it "
"PT1825 .A1 1975","0","ger","gw "
"PT2368 .J2 1998","0","ger","gw "
"f N6989 .A37 2006","1","eng","ru "
"ML419.U88 E96 1998","0","eng","nr "
"BV764.G3 .S4","0","ger","gw "
"PG3492.58.U36 B5 2008","0","rus","ru "
"PQ9698.28.I165 S636 2007","0","por","bl "
"PQ9698.1.L58 E83 2008","1","por","bl "
"DK254.S247 A3 2008","0","rus","ru "
"DS646.29.S4 T5713 2007","0","eng","io "
"HN290.S324 S3 2007","0","por","bl "
"PG3491.8.A39 D8 2007","0","rus","ru "
"DK131 .B892 2008","0","rus","ru "
"PQ9698.24.E5 J66 2008","0","por","bl "
"f NC1670 B462 1959","0","eng","is "
"DC49.5 .G73 1998","0","fre","fr "
"PJ6074 S33","1","ara","xx "
"DK508.95.O43 V56 2006","0","rus","ru "
"GV1785.P26 A3 2008","0","eng","mau"
"DS98.13.A75 A3 2006","0","ara","jo "
"ND553.V48 A3 2008","0","rus","ru "
"JV8152 .A46 2008","0","por","bl "
"HT1164.B8 R53 1985","1","eng","enk"
"f N6537.W28 A4 2007d","0","eng","sp "
"PQ4862.I2 R3413 2002","0","eng","onc"
"JN6699.A5 I15 2008","0","rus","ru "
"HC244.5 .A37 2006","0","ita","it "
"DS63.1 .M8557 2007","0","ara","le "
"BQ7662.4 .A46 2009","2","eng","ja "
"DK169.B5 B35 2007","0","rus","ru "
"JN6551 .G67 2008","0","rus","ru "
"JN2771 .D52 2007","0","fre","fr "
"JN2771 .D52 2007","0","fre","fr "
"DK510.34 .M85 2008","0","rus","ru "
"PS3560.A32 W56 2009","0","eng","cau"
"DS435 .N5 1956","1","eng","xx "
"B829.5 .S536 2008","0","eng","scu"
"PR3671.S33 D47 1995","1","eng","onc"
"PN6505.S5 M48 2008","0","rus","ru "
"ML410.S9324  A3 2006","0","rus","ru "
"TL659.A4 S6 1965","0","eng","mdu"
"PG2640 .B6574 2007","0","rus","ru "
"DC36.8.B7 .C432 2004","0","fre","fr "
"DS481.S354 A4 2008","0","eng","ii "
"DS481.S354 A4 2008","0","eng","ii "
"PD3816 .O53 1992","0","dan","dk "
"CT1220 .S86 2003","0","fin","fi "
"HD7361.M27 C46 2004","0","eng","ii "
"CT1220 .S86 2003","0","fin","fi "
"HD7368 .Z53 2008","1","eng","ke "
"DB886 .S875 1999","0","ger","li "
"DB886 .S875 1999","0","ger","li "
"DB886 .S875 1999","0","ger","li "
"DB886 .S875 1999","0","ger","li "
"DB886 .S875 1999","0","ger","li "
"DB886 .S875 1999","0","ger","li "
"DU850 M25","1","eng","enk"
"PT1856.Z5 D8 2009","0","ger","gw "
"BX9418 .O65 2009","0","ger","gw "
"BM504.2.A772 K43 1999","0","heb","is "
"PT137.M34 E75 2008","0","eng","gw "
"JN94.A71 M86 2009","0","ger","gw "
"PN6269.A2 S536 2008","0","ger","gw "
"DS12 .J39 2008","1","eng","enk"
"TF847.M65 Z894 2008","0","rus","ru "
"PJ5007.3 .N68 2002","0","heb","is "
"DS135.N6 F7338 2009","0","ger","gw "
"D805.5.E47 W34 2009","0","ger","gw "
"DL351 .E56 1940","1","ice","ic "
"BS1225.A47 R69 2007","0","heb","is "
"DD74 .V66 2009","0","ger","gw "
"D804.5.W65 K75 2008","1","ger","gw "
"PT2671.A274 M57 2009","0","ger","gw "
"DG677.85 .O25 2009","1","eng","mdu"
"HQ75.6.G3 L46 2008","0","ger","gw "
"D804.348 .S34 2009","0","eng","enk"
"HC340.12 .D449 2008","0","rus","ru "
"PT5881.13.C793 V7 1983","0","dut","ne "
"BJ1287 .Z6 1984","0","heb","is "
"PT2680.U3393 Z88 2008","0","ger","gw "
"PH2074 .C938 2007","0","hun","hu "
"BJ1287 .Z6 1984","0","heb","is "
"BJ1287 .Z6 1984","0","heb","is "
"HB98 .O85 2008","0","ger","gw "
"GV673.N34 H37 2006","0","eng","sx "
"NK480.H4 M87 1990","0","ger","gw "
"PN1998.3.D35 A6 2008","0","rus","ru "
"HC290.5.C6 K655 2009","0","ger","gw "
"PN81 .D53 2008","0","por","bl "
"TC461 .I58 2006","0","eng","ke "
"PG3483.3.E68 K36 2008","0","rus","ru "
"PN5499.N3 A48 2008","1","eng","sx "
"HN290.R47 V533 2008","3","por","bl "
"PR9381.9.M488 B37 2008","0","eng","ke "
"DK266 .B19 2008","0","rus","ru "
"PQ2682 .A3937 V33 2007","0","fre","fr "
"HC334 .A58 2008","0","rus","ru "
"NA1199.L38 K43 2007","0","rus","ru "
"HT1128 .N225 2008","0","por","bl "
"PT2661.U45 Z43 2009","0","ger","au "
"TN426.R9 A43 2006","0","rus","ru "
"HN49.C6 O78 2008","0","eng","bl "
"DK510.763 .L68 2001","0","rus","ru "
"DD901.L55 R53 1911a","0","ger","gw "
"HV8210.5.A2 A53 1995","0","ger","gw "
"DD901.H19 G47 2006","0","ger","gw "
"DS135.P6 R823 2006","0","eng","is "
"JS7502.3.A2 Y47 2004","0","heb","is "
"JS7502.3.A2 Y47 2004","0","heb","is "
"JS7502.3.A2 Y47 2004","0","heb","is "
"PQ4901.N57 S44 2007","0","ita","it "
"QK14.5 .I67 2008","0","rus","ru "
"UG87 .G34 2008","0","fre","sp "
"B2722.A3 E3","0","ger","gw "
"HT863 .A94 2008","0","ita","it "
"PG2950 .G37 2008","1","rus","ru "
"B2722.A3 E3","0","ger","gw "
"f BM520.88 .O87 2004","0","heb","is "
"DK511.U7 M397 2006","0","rus","ru "
"DC270 .S36 2007","1","fre","fr "
"TL789.85.G68 A5 2008","0","eng","dcu"
"BS575 .S25 2005","0","heb","heb"
"PN3347 .C47 2009","1","fre","fr "
"B2967 .B61 1969";"v.2A:17:1","0","ger","gw "
"B2967 .B61 1969";"v.2A:17:2","0","ger","gw "
"PR6063.I25 H47 2008","0","eng","enk"
"NC312.P63 S732 2008","0","pol","pl "
"PF3974 .S4 2001","0","ger","gw "
"HD2876 .N24 2007","0","eng","ja "
"DK112.42.V37 K69 2007","0","rus","ru "
"PG1919.29.A5 A2 2009","1","eng","cou"
"HV9154 .A44 2008","0","fre","fr "
"HD2876 .E98 2007","0","eng","ja "
"PG3476.R4 Z78 2008","1","rus","ru "
"N8560 .X3 2005","1","eng","sp "
"DK254.R3 V27 2008","0","rus","ru "
"P302.7 .O73 2009","4","eng","ne "
"HM479.W42 L44 2009","0","ger","gw "
"DG672 .H54 2004","0","eng","cau"
"PN1998.3.R654 A5 2008","0","ita","it "
"HX806 .S33 2009","0","fre","fr "
"PR6058.O88 L68 2008","1","eng","enk"
"PA4212 .A36 2009","3","eng","enk"
"DK99.3 .K68 2008","0","rus","ru "
"JN2031.L5 .K73 2009","0","ger","au "
"PQ4847.A44 U43 2008","0","ita","it "
"F3781.7.A2 J87 2004","0","spa","ec "
"F3781.7.A2 J87 2004","0","spa","ec "
"DB129 .N548 2008","1","ger","au "
"DB129 .N548 2008","0","ger","au "
"DB129 .N548 2008","0","ger","au "
"PA3998.H36 H47 2009","0","eng","nju"
"PT735 .G47 2003","0","ger","gw "
"ML420.U83 G45 2008","1","rus","ru "
"PT2681.T368 L53 2009","0","ger","gw "
"PT2601.L78 A6 2009","0","ger","gw "
"PT2601.L78 A6 2009","0","ger","gw "
"PT2601.L78 A6 2009","0","ger","gw "
"DK254.S5 K89 2008","0","rus","ru "
"PT2717.A78 T44 2009","0","ger","gw "
"B4249.L584 T34 2007","0","rus","ru "
"DT515.8 .N544 2005","1","eng","nr "
"PQ9401.A8 B48 1989","0","por","po "
"PQ7519.2 .M27 2007","1","spa","nq "
"N3211.C37 A83 1989","0","por","po "
"P96.I5 V534 2008","0","eng","gw "
"HV6432.7 .A125 2009","1","ger","gw "
"BM506.2.T68 P83 2006","0","heb","is "
"BR1050.C9 A544 2008","0","cze","xr "
"PG3492.87.S73 B64 2007","0","rus","ru "
"DS517.5 .K65 2007","0","rus","ru "
"PT8935 2008","0","nor","no "
"PT8935 2008","0","nor","no "
"PT8935 2008","0","nor","no "
"PT8935 2008","0","nor","no "
"PT8935 2008","0","nor","no "
"PT8935 2008","0","nor","no "
"PT8935 2008","0","nor","no "
"PT8935 2008","0","nor","no "
"PG3489.I4975 R87 2008","0","rus","ru "
"PG3489.3.I46 Z37 2007","0","rus","un "
"BM520.84 .B33 1999","0","heb","is "
"DD86.7.J26 A3 2008","0","ger","gw "
"PN1998.3.T36 F46 2008","1","rus","ru "
"DK34.M8 M85 2008","0","rus","ru "
"HD1333.Z55 C65 2008","2","eng","sa "
"KZ1176.5 .V65 2009","0","ger","gw "
"Z2952.5 .S66 2008","0","scc","rb "
"DD280.6 .S69 2008","0","ger","gw "
"BF1311.S62 K27 2007","0","rus","ru "
"PQ2191.Z5 T7817 2006","0","rus","ru "
"R512.2 .M43 2009","1","ger","gw "
"BM517 .T35 2006","0","heb","is "
"PQ9278.A36 A82 1999","0","por","po "
"HQ76.3.U52 S2635 2003","6","eng","cau"
"PG3522 .R87 2001","1","rus","ru "
"DS757.5 .W25","1","eng","nyu"
"ND2590 .G35 2004","2","eng","nyu"
"PA4232 .F81 2009","0","mul","fr "
"ND237.W6 H6 1998","1","eng","nyu"
"BX583.T7 A53 2008","0","rus","ru "
"PG7158.S42 W23 2001","0","pol","pl "
"N7133.C474 A4 2000","0","por","po "
"BL2300 .B88 2007","0","rus","ru "
