"callnum","circ","lang","ctry"
"PS3515.A515 R3375 2009","5","eng","nyu"
"PQ307.S95 L69413","2","eng","txu"
"PQ7390.M32 A2 2008","0","eng","ilu"
"PS3569.E5 P64 2009","5","eng","nyu"
"PR4773 .T66 2009","0","eng","enk"
"PR2976 .S33897 2008","2","eng","enk"
"PS374.S58 C37 2009","0","eng","mdu"
"PS3503.R167 W43 2009","1","eng","nyu"
"PS153.A84 A84 2009","4","eng","nyu"
"PS261 .M44 2009","1","eng","tnu"
"PS3556.O713 A6 2009","1","eng","nyu"
"PQ2635.O52 D613 2009","0","eng","nyu"
"PR461 .L45 2009","0","eng","vau"
"PS3620.O927 E93 2009","5","eng","nyu"
"PR4803.H44 Z71715 2008","3","eng","nyu"
"PS3563.C38813 G46 2008","2","eng","tnu"
"PR6058.E2 Z64 2009","1","eng","txu"
"PS3572.O5 Z798 2009","2","eng","mau"
"PR3592.R4 S68 2009","0","eng","pau"
"PS3569.O6547 Z76 2009","4","eng","nju"
"PS3605.A375 S86 2009","10","eng","nyu"
"PR3728.R4 S95 2009","2","eng","deu"
"PR6114.I23 T38 2007","0","eng","ie "
"PS3053 .S86 2009","4","eng","nyu"
"PS3618.O8693 U55 2009","0","eng","nyu"
"PS3552.U76 B75 2009","1","eng","mau"
"PS3619.L365 G73 2009","0","eng","mau"
"PR678.M3 B88 2008","2","eng","enk"
"PS3619.U5636 T75 2009","2","eng","nyu"
"PA3003 .B37 2009","2","eng","enk"
"PA6561 .P37 2009","8","eng","enk"
"DG77 .T73 2009","5","eng","enk"
"DE86 .C63 2009","2","eng","enk"
"DE3 .E2 2008","2","eng","mau"
"BD161 .L33 2009","1","eng","enk"
"DA677.1 B38 2008","0","eng","enk"
"PA6483.E5 G35 2009","0","eng","enk"
"B434 .H36 2009","1","eng","nvu"
"DG251.3 .G73 2002","2","eng","ne "
"B371 .R36 2009","1","eng","inu"
"CJ215.A82 S9 2008","0","eng","xna"
"Z115.1 .K436 2007","0","eng","enk"
"F3100 .P646 2009","2","eng","inu"
"NB933.B7 B34 2008","0","eng","pau"
"Z675.U5 B419 2009","1","eng","enk"
"HD30.37 .N49 2008","3","eng","enk"
"Z323 .B67 2008","0","eng","enk"
"Z286.O63 H35 2008","3","eng","mnu"
"QC981.8.G56 J639 2008","3","eng","ctu"
"RC569.5.I54 J64 2009","3","eng","enk"
"T14.5 .C635 2009","2","eng","nyu"
"ZA4482 .L54 2009","3","eng","nyu"
"PJ1554 .M65 2000","0","eng","ne "
"JZ6405.W66 A45 2009","1","eng","enk"
"HC95.Z9 E58 2009","0","eng","mdu"
"HD8736.5 .H87 2009","2","eng","enk"
"B1875 .H44 2009","2","eng","enk"
"BP190.5.S35 H38 2009","3","eng","enk"
"BD352 .T47 2009","13","eng","mau"
"B105.L3 O5 2009","0","eng","enk"
"BP63.M27 L56 2009","2","eng","enk"
"BX4337.Z5 E8523 2009","1","eng","nyu"
"B846 .T46 2009","6","eng","enk"
"BL53 .P99 2009","2","eng","enk"
"JN6695 .A862 2009","2","eng","enk"
"JZ1308 .C68 2009","2","eng","enk"
"JC423 .S55246 2009","0","eng","nyu"
"KF9430 .E54 2008","1","eng","ctu"
"U21.2 .V58 2009","1","eng","ctu"
"KZ6496 .K8713 2008","2","eng","nyu"
"JA75.8 .G7358 2008","0","eng","enk"
"JN94.A979 I56 2009","1","eng","enk"
"JV8751 .S37 2009","1","eng","enk"
"JS2061 .A53 2009","1","eng","azu"
"KZ6471 .P47 2007","1","eng","enk"
"JC263 .H38 2009","2","eng","enk"
"JC423 .R458 2008","2","eng","miu"
"K3224 .S55 2009","0","eng","mdu"
"JZ6045 .S24 2009","2","eng","cau"
"JC571 .S545 2009","1","eng","enk"
"JV5218 .T75 2009","3","eng","nyu"
"U21.2 .K78 2009","2","eng","nyu"
"JC599.U5 B45 2009","0","eng","nyu"
"KZ6515 .C59 2007","1","eng","enk"
"JN40 .S36 2009","0","eng","enk"
"KG574 .B737 2009","1","eng","enk"
"UB359.C6 D53 2009","2","eng","mdu"
